"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Mazur, Adam",800049,"MIA","CU","Curveball",-1,-1,"53",10.8,"15","0.286","0.357","0.31",14.3,0,0,"0.324","0.488","0.37",21.4
"Simpson, Josh",681006,"MIA","CH","Changeup",-3.1,-2,"67",10.9,"15","0.4","0.733","0.48",18.4,26.7,13.3,"0.353","0.591","0.401",36.4
"Gibson, Cade",806188,"MIA","FF","4-Seam Fastball",1,1,"86",9.5,"15","0.133","0.2","0.143",17.2,33.3,10.4,"0.131","0.212","0.147",30
"Hill, Tim",657612,"NYY","FC","Cutter",-3.1,-1,"39",4.3,"15","0.143","0.571","0.313",35.3,33.3,26.3,"0.165","0.455","0.288",22.2
"Hall, DL",669084,"MIL","CU","Curveball",2.1,1,"56",9.5,"15","0.143","0.143","0.167",23.5,20,17.6,"0.126","0.164","0.164",27.3
"Skubal, Tarik",669373,"DET","CU","Curveball",-0.5,0,"79",2.8,"14","0.167","0.333","0.279",35.7,42.9,27.3,"0.103","0.131","0.187",16.7
"Burnes, Corbin",669203,"AZ","CH","Changeup",2.3,2,"73",7.2,"14","0.083","0.083","0.123",31.3,14.3,13.3,"0.297","0.476","0.358",27.3
"Senzatela, Antonio",622608,"COL","FC","Cutter",-2.3,-1,"42",1.8,"14","0.462","0.692","0.511",14.3,14.3,28.6,"0.28","0.367","0.31",27.3
"Hollowell, Gavin",668970,"CHC","ST","Sweeper",-2.3,-1,"58",33.7,"14","0.308","0.538","0.386",16.7,21.4,13,"0.299","0.429","0.34",20
"Eder, Jake",671109,"LAA","SL","Slider",4.5,2,"55",18.2,"14","0.143","0.143","0.129",34.5,28.6,57.1,"0.271","0.369","0.275",40
"Miley, Wade",489119,"CIN","CH","Changeup",-7.1,-3,"49",23.9,"14","0.462","0.769","0.539",17.6,21.4,23.1,"0.408","0.818","0.527",40
"Varland, Louis",686973,"TOR","CH","Changeup",-1.7,-1,"50",4.7,"14","0.214","0.714","0.375",28,14.3,33.3,"0.276","0.624","0.373",50
